0193d f2cb1 fc9fc e596e f441b e3238 f05a6 e5754 f05a6 e5754 f441b e3238 fc9fc e596e 0193d f2cb1 
fb9ac ec639 f127a dd3c8 e8700 dd7f1 e5fe2 e1e1b e5fe2 e1e1b e8700 dd7f1 f127a dd3c8 fb9ac ec639 
008c3 f4dc3 f70a8 e4bcb ebfe4 e45f5 e841e e8681 e841e e8681 ebfe4 e45f5 f70a8 e4bcb 008c3 f4dc3 
ff5b8 061c6 01d65 037de 011f3 007ad ffb0f ff6f3 ffb0f ff6f3 011f3 007ad 01d65 037de ff5b8 061c6 
fabdd fcccc f9628 00ad4 fae95 01c2e fbf59 01808 fbf59 01808 fae95 01c2e f9628 00ad4 fabdd fcccc 
f6091 01a56 f571e 04634 f7718 03749 f8e56 020c8 f8e56 020c8 f7718 03749 f571e 04634 f6091 01a56 
f79e0 fbfd4 efacd ff656 ef507 023dc f0b4e 02d99 f0b4e 02d99 ef507 023dc efacd ff656 f79e0 fbfd4 
f26fa 03e4d f472b 096c4 f6af2 09325 f72fe 08516 f72fe 08516 f6af2 09325 f472b 096c4 f26fa 03e4d 
07d6a 03ef1 11fca 0167d 13f1a fe48e 12e84 fcf57 12e84 fcf57 13f1a fe48e 11fca 0167d 07d6a 03ef1 
fc049 05fa3 00962 06d01 01646 0433a 001e5 02ebd 001e5 02ebd 01646 0433a 00962 06d01 fc049 05fa3 
0197a 059fc 04b20 04c5b 04d6f 00fd2 03722 ff7ea 03722 ff7ea 04d6f 00fd2 04b20 04c5b 0197a 059fc 
f89dd f9d28 fb3a8 fcdf9 ff355 fd0df 00f7c fd050 00f7c fd050 ff355 fd0df fb3a8 fcdf9 f89dd f9d28 
13016 1259c 2a348 0e3f0 2f36b 013f3 2c06c fa50e 2c06c fa50e 2f36b 013f3 2a348 0e3f0 13016 1259c 
0fdb0 0d1ba 229e5 09d0e 28d4e ff767 272dc f9c86 272dc f9c86 28d4e ff767 229e5 09d0e 0fdb0 0d1ba 
0cf4b 050c3 20ec5 08695 29aba ffbd5 290f1 f98d1 290f1 f98d1 29aba ffbd5 20ec5 08695 0cf4b 050c3 
051fb 004b6 01c3a fb9d5 fda57 fab63 fbad6 fb41c fbad6 fb41c fda57 fab63 01c3a fb9d5 051fb 004b6 
fe055 f9d4d 04107 fe570 0aa13 ff245 0d331 fdf6c 0d331 fdf6c 0aa13 ff245 04107 fe570 fe055 f9d4d 
f2ebb 053e4 fadfa 13e2f 05899 1601c 0a1a0 13e47 0a1a0 13e47 05899 1601c fadfa 13e2f f2ebb 053e4 
fa0ce 04ac8 00289 0b90c 05c1a 0b234 07329 09711 07329 09711 05c1a 0b234 00289 0b90c fa0ce 04ac8 
f8380 fd680 f6109 02e49 f6fa1 05b3f f810d 06b60 f810d 06b60 f6fa1 05b3f f6109 02e49 f8380 fd680 
0db1a 05fb0 1fadb f97b5 1fa01 eb6ae 1b2e4 e643d 1b2e4 e643d 1fa01 eb6ae 1fadb f97b5 0db1a 05fb0 
13a11 0241f 23361 f35f8 1fcbb e69dc 197f6 e2e62 197f6 e2e62 1fcbb e69dc 23361 f35f8 13a11 0241f 
0d8f6 ff026 1d608 eef39 1b45d e27ce 165c8 df3de 165c8 df3de 1b45d e27ce 1d608 eef39 0d8f6 ff026 
05866 07e8f 07a3a 011d8 05f20 fb61d 0466c f911e 0466c f911e 05f20 fb61d 07a3a 011d8 05866 07e8f 
fb3a6 fbefb f3aa0 fad5c efd93 fe7db f0136 00c82 f0136 00c82 efd93 fe7db f3aa0 fad5c fb3a6 fbefb 
fad15 f8f8a f1c47 f9839 ede2f fded0 ed403 00b17 ed403 00b17 ede2f fded0 f1c47 f9839 fad15 f8f8a 
00404 f0ae8 f00d7 f2bed e90e5 fcb5c e8cff 02374 e8cff 02374 e90e5 fcb5c f00d7 f2bed 00404 f0ae8 
fd033 fa7de fc950 f8aee fb3c9 f9363 fb06e fa8ea fb06e fa8ea fb3c9 f9363 fc950 f8aee fd033 fa7de 
0b001 076e2 10847 08293 13afa 05a11 140b1 0385e 140b1 0385e 13afa 05a11 10847 08293 0b001 076e2 
fce5e 03bee 0072c 0be82 03d40 0d9dc 04645 0d719 04645 0d719 03d40 0d9dc 0072c 0be82 fce5e 03bee 
0af3c 1373c 12e7a 102d7 1582e 081c8 14480 02e90 14480 02e90 1582e 081c8 12e7a 102d7 0af3c 1373c 
018bd fe91d 0ae90 f9256 0eff4 f56b4 0fcc4 f4121 0fcc4 f4121 0eff4 f56b4 0ae90 f9256 018bd fe91d 
ff36f ec8d9 fa080 dcd6b f2877 dab57 ef5bb dd91b ef5bb dd91b f2877 dab57 fa080 dcd6b ff36f ec8d9 
08772 ee656 f88d3 dfc14 eb83e e3db6 e7dc4 ea716 e7dc4 ea716 eb83e e3db6 f88d3 dfc14 08772 ee656 
0c6ed fb10f 076f7 df569 f9eb7 d57a0 f33f0 d63eb f33f0 d63eb f9eb7 d57a0 076f7 df569 0c6ed fb10f 
ffee0 fa923 fe991 0055a 00866 03030 01672 0323e 01672 0323e 00866 03030 fe991 0055a ffee0 fa923 
f75c8 f83bb eb27f 01376 eb154 06f5a eceb0 07c83 eceb0 07c83 eb154 06f5a eb27f 01376 f75c8 f83bb 
f55a9 00aff f361a 01ea5 f4711 03b7e f596c 044ae f596c 044ae f4711 03b7e f361a 01ea5 f55a9 00aff 
046ca f97c3 fce1a fe46a f853d 02d99 f73f3 05085 f73f3 05085 f853d 02d99 fce1a fe46a 046ca f97c3 
057f4 0b6e5 09a39 08a8f 09a79 0528c 088f6 032b6 088f6 032b6 09a79 0528c 09a39 08a8f 057f4 0b6e5 
ffac0 fee35 0117d fd6fc 00afc fc242 ff9e7 fc1b5 ff9e7 fc1b5 00afc fc242 0117d fd6fc ffac0 fee35 
01cd6 099c0 08ce1 070e6 0afe2 00966 0a1ec fd81d 0a1ec fd81d 0afe2 00966 08ce1 070e6 01cd6 099c0 
014b6 04b9e 06e2b 035fe 08b52 fe27d 0814e fb3c4 0814e fb3c4 08b52 fe27d 06e2b 035fe 014b6 04b9e 
fde71 02175 feb11 015e8 0004d ff816 00620 fe622 00620 fe622 0004d ff816 feb11 015e8 fde71 02175 
0e00e 10761 240a4 0c33f 27ad3 00175 23f29 fa205 23f29 fa205 27ad3 00175 240a4 0c33f 0e00e 10761 
15d3f 0bca5 2f82a 03800 3469a f68e9 314b9 f0674 314b9 f0674 3469a f68e9 2f82a 03800 15d3f 0bca5 
03e50 06b5d 191e3 06fe9 1eb13 00407 1d03c fcd2e 1d03c fcd2e 1eb13 00407 191e3 06fe9 03e50 06b5d 
05bb9 03337 05fa4 017e7 02f4a 00d6b 00c9c 01064 00c9c 01064 02f4a 00d6b 05fa4 017e7 05bb9 03337 
fa4c7 fc1a0 fd475 0453b 01f28 0748e 04086 074dd 04086 074dd 01f28 0748e fd475 0453b fa4c7 fc1a0 
02793 00d60 ff751 09c76 002bd 0bd17 00534 0ae87 00534 0ae87 002bd 0bd17 ff751 09c76 02793 00d60 
068f8 07115 0cf75 0ba1b 0f7c5 0af5c 0f7a2 099ca 0f7a2 099ca 0f7c5 0af5c 0cf75 0ba1b 068f8 07115 
ff4ba 00a6d ff745 02336 02325 00320 03492 fe2bc 03492 fe2bc 02325 00320 ff745 02336 ff4ba 00a6d 
02a6f 02ad3 1b6b7 f8a73 21596 e94f6 1ea8a e2c77 1ea8a e2c77 21596 e94f6 1b6b7 f8a73 02a6f 02ad3 
12a80 052e0 264be f3ec5 26d44 e644b 22615 e2828 22615 e2828 26d44 e644b 264be f3ec5 12a80 052e0 
14d5c fbe60 229d3 f1a6e 22039 e9895 1e760 e75ad 1e760 e75ad 22039 e9895 229d3 f1a6e 14d5c fbe60 
faf8a 05030 00ff7 09ca7 05729 071e6 06249 046ba 06249 046ba 05729 071e6 00ff7 09ca7 faf8a 05030 
fe746 f8770 f328d fbe96 f001f 02f53 f0a9e 06558 f0a9e 06558 f001f 02f53 f328d fbe96 fe746 f8770 
025a2 0223d fdf04 fe198 f996c ff100 f8844 012f1 f8844 012f1 f996c ff100 fdf04 fe198 025a2 0223d 
f9e30 039d3 f43be ff97b efe20 00967 ef56c 025a4 ef56c 025a4 efe20 00967 f43be ff97b f9e30 039d3 
fca73 fd2ee 01690 fdadf 04f34 fb2fe 05cb6 f9873 05cb6 f9873 04f34 fb2fe 01690 fdadf fca73 fd2ee 
0175d 0d00e 0fc28 1107f 17f09 0d228 19e8b 09ae9 19e8b 09ae9 17f09 0d228 0fc28 1107f 0175d 0d00e 
039c5 13263 0acdd 1db53 11553 1c01b 137e4 183b8 137e4 183b8 11553 1c01b 0acdd 1db53 039c5 13263 
060b8 08598 0c2dd 0d991 0f816 0a9bd 0f9ed 0728e 0f9ed 0728e 0f816 0a9bd 0c2dd 0d991 060b8 08598 
0482e fd658 03352 f8413 00d5d f6ffb ffe21 f702e ffe21 f702e 00d5d f6ffb 03352 f8413 0482e fd658 
0a552 f0616 01237 df846 f98ee e1bc1 f8797 e6e57 f8797 e6e57 f98ee e1bc1 01237 df846 0a552 f0616 
f8a94 f010b f5b53 e1af4 eec34 df12c eb8c3 e1598 eb8c3 e1598 eec34 df12c f5b53 e1af4 f8a94 f010b 
